strain	date	Host	Geo_Location	country	accession
MH028396	2017-10-13	Mus baoulei	Benin: Odo-akaba	Benin	
MH028398	2017-09-24	Mus baoulei	Benin: Worogui	Benin	
LT601602	2016-03-16		Germany	Germany	
MF990888	2016-03-12	Homo sapiens	Togo	Togo	
MF990889	2016-03-12	Homo sapiens	Togo	Togo	
KU961971	2016-02-26	Homo sapiens	Togo	Togo	
MT193277	2016-02-23	Homo sapiens	Benin	Benin	
MT193278	2016-01-29	Homo sapiens	Benin	Benin	
MT193282	2016-04-10	Homo sapiens	Benin	Benin	
MT193284	2014-10-23	Homo sapiens	Benin	Benin	
MT193285	2014-10-25	Homo sapiens	Benin	Benin	
MT193286	2016-01-21	Homo sapiens	Benin	Benin	
MT193288	2016-01-21	Homo sapiens	Benin	Benin	
MT193279	2016-02-07	Homo sapiens	Benin	Benin	
MT193280	2016-03-05	Homo sapiens	Benin	Benin	
MT193281	2016-03-13	Homo sapiens	Benin	Benin	
